epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
33,38.63228,3103.15112,0.86199,0.08475201,8.005e-05,383461.0,0.03754,0.97416,0.76381,0.44886,0.56544,0.93593,1.8528,0.07730169,0.0,383461.0,0.01436,0.98031,0.5,0.33333,0.4,0.81473,1.84736,0.12709132,0.0,383461.0,0.01432,0.96937,0.52174,0.36923,0.43243,0.7869,
34,41.77789,3046.40309,0.84622,0.08400575,7.872e-05,383461.0,0.0406,0.97423,0.75197,0.4651,0.57472,0.93811,1.86303,0.0790133,0.0,383461.0,0.01444,0.98177,0.56522,0.32099,0.40945,0.80194,1.84377,0.13604344,0.0,383461.0,0.01429,0.96864,0.5082,0.23846,0.32461,0.77522,
35,53.43959,3011.21863,0.83645,0.08145105,7.735e-05,383461.0,0.05193,0.97486,0.7675,0.47159,0.58421,0.94357,1.85121,0.07770032,0.0,383461.0,0.01435,0.98249,0.60465,0.32099,0.41935,0.80236,1.8416,0.12850922,0.0,383461.0,0.01428,0.97082,0.55952,0.36154,0.43925,0.78524,
36,52.05327,2972.68692,0.82575,0.08118909,7.595e-05,383461.0,0.05059,0.97423,0.75946,0.45617,0.56998,0.94566,1.85244,0.07459865,0.0,383461.0,0.01436,0.98395,0.75862,0.2716,0.4,0.81803,1.84702,0.14045929,0.0,383461.0,0.01432,0.97107,0.66667,0.16923,0.26994,0.76593,
37,53.63628,2936.02636,0.81556,0.08025726,7.452e-05,383461.0,0.05212,0.97547,0.78523,0.47484,0.59181,0.94416,1.85522,0.07815984,0.0,383461.0,0.01438,0.98079,0.52083,0.30864,0.3876,0.8168,1.84468,0.13491845,0.0,383461.0,0.0143,0.97107,0.58462,0.29231,0.38974,0.76581,
38,52.42998,2896.60847,0.80461,0.07991193,7.307e-05,383461.0,0.05095,0.97559,0.78261,0.48214,0.59669,0.9444,1.8643,0.07628399,0.0,383461.0,0.01445,0.98201,0.57143,0.34568,0.43077,0.81034,1.85907,0.13380904,0.0,383461.0,0.01441,0.96888,0.51389,0.28462,0.36634,0.77656,
39,52.30918,2856.35878,0.79343,0.07885653,7.159e-05,383461.0,0.05083,0.97535,0.78718,0.46834,0.58728,0.94835,1.85325,0.07455782,0.0,383461.0,0.01437,0.98225,0.61111,0.2716,0.37607,0.82333,1.84456,0.13876797,0.0,383461.0,0.0143,0.97131,0.64286,0.20769,0.31395,0.77402,
40,53.39438,2817.08246,0.78252,0.07673422,7.008e-05,383461.0,0.05189,0.9759,0.78996,0.48539,0.60131,0.95321,1.85933,0.07916507,0.0,383461.0,0.01441,0.98152,0.55319,0.32099,0.40625,0.81539,1.84111,0.13993632,0.0,383461.0,0.01427,0.96961,0.53425,0.3,0.38424,0.77341,
41,53.78303,2777.67054,0.77158,0.07649056,6.856e-05,383461.0,0.05227,0.97602,0.78507,0.49513,0.60727,0.95367,1.85131,0.08183183,0.0,383461.0,0.01435,0.98249,0.6,0.33333,0.42857,0.80673,1.84412,0.14723324,0.0,383461.0,0.0143,0.96742,0.47727,0.32308,0.38532,0.75999,
42,53.7224,2737.50983,0.76042,0.07515576,6.701e-05,383461.0,0.05221,0.97578,0.78357,0.48782,0.6013,0.95364,1.85319,0.08054074,0.0,383461.0,0.01437,0.98274,0.61905,0.32099,0.42276,0.80842,1.8411,0.14807953,0.0,383461.0,0.01427,0.96766,0.47619,0.23077,0.31088,0.76982,
