epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
20,79.16493,6519.46006,1.81096,0.09929497,9.397e-05,558693.0,0.07693,0.97131,0.71687,0.38636,0.50211,0.88781,3.12563,0.0736469,0.0,558693.0,0.02423,0.98128,0.54167,0.32099,0.4031,0.80528,3.227,0.12008738,0.0,558693.0,0.02502,0.96864,0.5098,0.2,0.28729,0.77365,,1.0262,0.9738,1.0368,0.9632,1.0342,0.9658,1.0656,0.9344,1.0781,0.9219,1.0218,0.9782,1.0258,0.9742,1.0391,0.9609,1.043,0.957,1.0413,0.9587
21,82.99966,6438.61882,1.78851,0.09770419,9.316e-05,558693.0,0.08066,0.97201,0.74184,0.38718,0.5088,0.89418,3.18959,0.07543878,0.0,558693.0,0.02473,0.98322,0.63043,0.35802,0.45669,0.80665,3.15445,0.12103136,0.0,558693.0,0.02445,0.96839,0.5,0.32308,0.39252,0.78196,,1.0263,0.9737,1.0427,0.9573,1.0363,0.9637,1.0681,0.9319,1.0827,0.9173,1.0239,0.9761,1.0287,0.9713,1.0411,0.9589,1.0445,0.9555,1.0431,0.9569
22,80.32396,6348.63209,1.76351,0.09685119,9.23e-05,558693.0,0.07806,0.97155,0.7327,0.37825,0.49893,0.89943,3.17329,0.07536708,0.0,558693.0,0.0246,0.98298,0.64103,0.30864,0.41667,0.80843,3.23035,0.12637023,0.0,558693.0,0.02504,0.96888,0.51852,0.21538,0.30435,0.77454,,1.0266,0.9734,1.0405,0.9595,1.0391,0.9609,1.0689,0.9311,1.089,0.911,1.0269,0.9731,1.0299,0.9701,1.0453,0.9547,1.0456,0.9544,1.0463,0.9537
23,80.60232,6260.33207,1.73898,0.09496483,9.14e-05,558693.0,0.07833,0.97192,0.73263,0.39367,0.51214,0.90359,3.12873,0.07746209,0.0,558693.0,0.02425,0.98079,0.51852,0.34568,0.41481,0.81322,3.22261,0.11940413,0.0,558693.0,0.02498,0.96912,0.52,0.3,0.38049,0.78603,,1.0297,0.9703,1.0441,0.9559,1.0413,0.9587,1.0736,0.9264,1.0918,0.9082,1.0284,0.9716,1.0315,0.9685,1.0485,0.9515,1.0476,0.9524,1.048,0.952
24,77.20009,6162.44118,1.71179,0.0941351,9.045e-05,558693.0,0.07502,0.97298,0.74891,0.41883,0.53722,0.90738,3.16378,0.07670411,0.0,558693.0,0.02453,0.98177,0.55769,0.35802,0.43609,0.81337,3.12135,0.12617404,0.0,558693.0,0.0242,0.96596,0.4375,0.26923,0.33333,0.77605,,1.0288,0.9712,1.0447,0.9553,1.0411,0.9589,1.0745,0.9255,1.0957,0.9043,1.0314,0.9686,1.0329,0.9671,1.0464,0.9536,1.0476,0.9524,1.0507,0.9493
25,81.36997,6078.01001,1.68834,0.09214864,8.946e-05,558693.0,0.07908,0.97176,0.71674,0.40666,0.5189,0.91456,3.17944,0.07722554,0.0,558693.0,0.02465,0.98177,0.56,0.34568,0.42748,0.80824,3.16148,0.11727109,0.0,558693.0,0.02451,0.97009,0.53608,0.4,0.45815,0.79386,,1.0299,0.9701,1.0502,0.9498,1.043,0.9569,1.0781,0.9219,1.0998,0.9002,1.0342,0.9658,1.0357,0.9643,1.0518,0.9482,1.0492,0.9508,1.0516,0.9484
26,79.28609,5988.17139,1.66338,0.0919803,8.842e-05,558693.0,0.07705,0.97258,0.73371,0.42045,0.53457,0.91489,3.17441,0.07257618,0.0,558693.0,0.02461,0.98322,0.65789,0.30864,0.42017,0.81459,3.17122,0.12040151,0.0,558693.0,0.02458,0.97009,0.55738,0.26154,0.35602,0.77441,,1.03,0.97,1.0514,0.9486,1.0462,0.9538,1.0799,0.9201,1.102,0.898,1.0374,0.9626,1.0348,0.9652,1.0539,0.9461,1.0494,0.9506,1.0523,0.9477
27,79.45436,5899.51924,1.63876,0.08833991,8.734e-05,558693.0,0.07722,0.97316,0.74338,0.43263,0.54695,0.92482,3.21146,0.07849748,0.0,558693.0,0.0249,0.98274,0.61905,0.32099,0.42276,0.81019,3.19786,0.12767498,0.0,558693.0,0.02479,0.96888,0.51786,0.22308,0.31183,0.7743,,1.0292,0.9709,1.0513,0.9487,1.0472,0.9528,1.0827,0.9173,1.1058,0.8942,1.0383,0.9617,1.0344,0.9656,1.0546,0.9454,1.0512,0.9488,1.0571,0.9429
28,81.71997,5817.04825,1.61585,0.08791313,8.622e-05,558693.0,0.07942,0.97383,0.76462,0.43506,0.55458,0.92587,3.19282,0.07707055,0.0,558693.0,0.02475,0.98079,0.52,0.32099,0.39695,0.83403,3.32788,0.1337184,0.0,558693.0,0.0258,0.96937,0.5303,0.26923,0.35714,0.75574,True,1.0295,0.9705,1.0539,0.9461,1.0452,0.9548,1.0856,0.9145,1.1076,0.8924,1.0393,0.9607,1.037,0.963,1.0549,0.9451,1.0538,0.9462,1.0546,0.9454
29,87.84758,5748.92507,1.59692,0.08753018,8.506e-05,558693.0,0.08537,0.97344,0.75571,0.42938,0.54762,0.92819,3.20996,0.07670001,0.0,558693.0,0.02488,0.98322,0.64286,0.33333,0.43902,0.80016,3.17501,0.1320562,0.0,558693.0,0.02461,0.96912,0.52308,0.26154,0.34872,0.76258,,1.0303,0.9697,1.0603,0.9397,1.0472,0.9528,1.0876,0.9124,1.1104,0.8896,1.0395,0.9605,1.0367,0.9633,1.0586,0.9414,1.0546,0.9454,1.0551,0.9449
