epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
25,255.64725,19710.23818,5.47507,0.02995128,0.00044729,9744870.0,0.37321,0.98757,0.93002,0.40266,12.92531,0.0441242,0.0,9744870.0,0.15029,0.98121,0.88458,0.28105,15.42974,0.04638904,0.0,9744870.0,0.17942,0.97992,0.87857,0.27358,,1.3523,0.6477,1.6724,0.3276,1.6515,0.3485,1.6696,0.3304,1.6843,0.3157
26,254.34701,19411.41873,5.39206,0.02967619,0.0004421,9744870.0,0.37131,0.9876,0.93257,0.40833,12.89073,0.0435581,0.0,9744870.0,0.14989,0.98123,0.88689,0.2914,13.64536,0.04597629,0.0,9744870.0,0.15867,0.9802,0.87972,0.27954,,1.3655,0.6345,1.6849,0.3151,1.6664,0.3336,1.6683,0.3317,1.6893,0.3107
27,255.93081,19119.84851,5.31107,0.02934005,0.00043671,9744870.0,0.37362,0.9878,0.93423,0.41758,12.9283,0.04399134,0.0,9744870.0,0.15033,0.98116,0.88659,0.28754,13.60606,0.04639558,0.0,9744870.0,0.15821,0.97993,0.87926,0.27674,,1.373,0.627,1.6858,0.3142,1.6611,0.3389,1.6688,0.3312,1.6939,0.3061
28,254.12511,18826.31532,5.22953,0.02905131,0.00043111,9744870.0,0.37099,0.98789,0.93622,0.42395,12.88545,0.04385261,0.0,9744870.0,0.14983,0.98137,0.88503,0.28838,13.62083,0.04624049,0.0,9744870.0,0.15838,0.97985,0.87903,0.27889,,1.3885,0.6115,1.6922,0.3078,1.6658,0.3342,1.6648,0.3352,1.6948,0.3052
29,256.05157,18539.90441,5.14997,0.02879122,0.00042531,9744870.0,0.3738,0.988,0.9379,0.42954,12.92375,0.04377009,0.0,9744870.0,0.15028,0.98133,0.88673,0.29354,13.62311,0.04610641,0.0,9744870.0,0.15841,0.98022,0.88011,0.28392,,1.3924,0.6076,1.6988,0.3012,1.6737,0.3263,1.6707,0.3294,1.6951,0.3049
30,253.3747,18249.49398,5.0693,0.0285331,0.00041932,9744870.0,0.36989,0.98814,0.93935,0.43892,12.89922,0.04365132,0.0,9744870.0,0.14999,0.98146,0.88523,0.29797,15.30704,0.04599288,0.0,9744870.0,0.17799,0.98021,0.87857,0.28604,,1.4024,0.5976,1.7115,0.2885,1.6733,0.3267,1.6627,0.3373,1.7016,0.2985
31,253.3243,17961.29119,4.98925,0.02826059,0.00041315,9744870.0,0.36982,0.9882,0.9416,0.4467,12.93212,0.04390096,0.0,9744870.0,0.15037,0.98159,0.88593,0.29765,13.5868,0.04618908,0.0,9744870.0,0.15799,0.98047,0.87906,0.28526,,1.412,0.588,1.7149,0.2851,1.6713,0.3287,1.6711,0.329,1.6974,0.3026
32,254.92765,17678.45754,4.91068,0.02803061,0.00040679,9744870.0,0.37216,0.98829,0.94238,0.45239,12.87058,0.04432856,0.0,9744870.0,0.14966,0.98125,0.88495,0.29168,13.58051,0.0467908,0.0,9744870.0,0.15791,0.97987,0.87771,0.28538,,1.4203,0.5797,1.7185,0.2814,1.6774,0.3226,1.6676,0.3324,1.7005,0.2995
33,254.86871,17397.15099,4.83254,0.02772345,0.00040027,9744870.0,0.37207,0.98852,0.94435,0.45848,13.00905,0.0443315,0.0,9744870.0,0.15127,0.98134,0.88572,0.29332,13.70392,0.04666706,0.0,9744870.0,0.15935,0.98015,0.87913,0.28732,,1.4255,0.5745,1.7172,0.2828,1.682,0.318,1.662,0.3381,1.6964,0.3037
34,255.71152,17118.9204,4.75526,0.0274973,0.00039358,9744870.0,0.3733,0.98857,0.94559,0.46472,12.94169,0.04450795,0.0,9744870.0,0.15048,0.98143,0.88397,0.293,13.62646,0.04679499,0.0,9744870.0,0.15845,0.98002,0.87804,0.28623,,1.4316,0.5684,1.7276,0.2724,1.6782,0.3218,1.6622,0.3379,1.6996,0.3004
