epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
25.0,257.40008,19389.8208,5.38606,0.02988,0.00045,9744870.0,0.37577,0.98758,0.93079,0.40283,13.11252,0.0441,0.0,9744870.0,0.15247,0.98128,0.88497,0.28455,14.48605,0.04633,0.0,9744870.0,0.16844,0.97998,0.88018,0.27854,1.36709,0.63291,1.69832,0.30168,1.68519,0.31481,1.64194,0.35806,1.65674,0.34327
26.0,258.09055,19117.15967,5.31032,0.02958,0.00044,9744870.0,0.37677,0.98769,0.93285,0.4111,13.14421,0.04398,0.0,9744870.0,0.15284,0.98131,0.88404,0.28568,13.82672,0.0462,0.0,9744870.0,0.16078,0.98,0.87964,0.28039,1.38046,0.61955,1.71158,0.28842,1.69375,0.30625,1.64261,0.35739,1.65996,0.34004
27.0,257.54958,18844.14823,5.23448,0.02929,0.00044,9744870.0,0.37598,0.98782,0.93489,0.41842,13.1008,0.04404,0.0,9744870.0,0.15233,0.98135,0.88444,0.28909,13.79025,0.04632,0.0,9744870.0,0.16035,0.98009,0.8796,0.28246,1.39043,0.60957,1.71775,0.28225,1.69681,0.30319,1.64334,0.35666,1.66364,0.33635
28.0,257.32592,18571.65555,5.15879,0.029,0.00043,9744870.0,0.37566,0.98792,0.93671,0.42677,13.10228,0.04417,0.0,9744870.0,0.15235,0.98137,0.88401,0.28884,13.80119,0.04639,0.0,9744870.0,0.16048,0.97997,0.87966,0.2825,1.40185,0.59815,1.72469,0.2753,1.69938,0.30062,1.64056,0.35944,1.6653,0.33471
29.0,257.7807,18301.23515,5.08367,0.02873,0.00043,9744870.0,0.37632,0.98805,0.93856,0.43306,14.02839,0.0441,0.0,9744870.0,0.16312,0.98129,0.88514,0.29029,13.83023,0.04634,0.0,9744870.0,0.16082,0.97998,0.88036,0.28463,1.41102,0.58897,1.73094,0.26907,1.70303,0.29697,1.64201,0.35801,1.66633,0.33367
30.0,257.17681,18030.28605,5.00841,0.02844,0.00042,9744870.0,0.37544,0.98819,0.94037,0.44175,13.09822,0.04406,0.0,9744870.0,0.1523,0.98148,0.88426,0.29244,14.47946,0.04633,0.0,9744870.0,0.16836,0.98021,0.87949,0.28577,1.42005,0.57996,1.7352,0.2648,1.70559,0.29441,1.63877,0.36123,1.66784,0.33217
31.0,257.72745,17761.36785,4.93371,0.02818,0.00041,9744870.0,0.37625,0.9883,0.94198,0.44812,13.13242,0.04408,0.0,9744870.0,0.1527,0.98137,0.88433,0.29269,13.83366,0.04634,0.0,9744870.0,0.16086,0.98014,0.87948,0.28581,1.42807,0.57192,1.74103,0.25896,1.70783,0.29216,1.63849,0.36152,1.66894,0.33106
32.0,257.90453,17493.48738,4.8593,0.02794,0.00041,9744870.0,0.3765,0.98839,0.94346,0.45434,13.10459,0.04431,0.0,9744870.0,0.15238,0.98131,0.88396,0.29266,13.82434,0.04658,0.0,9744870.0,0.16075,0.98001,0.87901,0.28625,1.43582,0.56419,1.74561,0.25438,1.71149,0.28852,1.63691,0.36309,1.66955,0.33046
33.0,258.0965,17226.56639,4.78516,0.02768,0.0004,9744870.0,0.37678,0.9885,0.94519,0.46146,13.12637,0.04436,0.0,9744870.0,0.15263,0.98138,0.8837,0.2928,13.84098,0.04661,0.0,9744870.0,0.16094,0.98004,0.87881,0.28645,1.44363,0.55638,1.74849,0.25152,1.71072,0.28929,1.63698,0.36304,1.66967,0.33034
34.0,258.55191,16960.99542,4.71139,0.02744,0.00039,9744870.0,0.37745,0.98859,0.94664,0.46802,13.13244,0.04429,0.0,9744870.0,0.1527,0.98139,0.88391,0.29384,13.86006,0.0466,0.0,9744870.0,0.16116,0.9801,0.87886,0.28748,1.44861,0.5514,1.75415,0.24585,1.71323,0.28678,1.63522,0.36479,1.66886,0.33114
