epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
28,6.86198,15312.00683,4.25334,0.30800435,0.00056,273977.0,0.02192,0.308,0.8401,0.97282,0.64656,0.80409,0.30239,0.28674409,0.0,273977.0,0.00945,0.28674,0.82518,0.98257,0.68857,0.8298,0.30118,0.25025758,0.0,273977.0,0.00941,0.25026,0.94391,0.98166,0.2282,0.4777,
29,6.86803,15245.09775,4.23475,0.30713558,0.00058,273977.0,0.02194,0.30714,0.84588,0.97232,0.62315,0.7894,0.32034,0.29841799,0.0,273977.0,0.01001,0.29842,0.8148,0.97823,0.72947,0.85409,0.30399,0.27016335,0.0,273977.0,0.0095,0.27016,0.93904,0.97946,0.24802,0.49802,
30,6.91941,15185.32574,4.21815,0.30040404,0.0006,273977.0,0.02211,0.3004,0.8464,0.97408,0.62106,0.78807,0.30408,0.29242933,0.0,273977.0,0.0095,0.29243,0.82189,0.97951,0.70155,0.83759,0.3028,0.26381459,0.0,273977.0,0.00946,0.26381,0.94234,0.97744,0.23456,0.48431,
31,6.87462,15126.10203,4.2017,0.29967537,0.00062,273977.0,0.02196,0.29968,0.84939,0.97273,0.60897,0.78036,0.30345,0.36840295,0.0,273977.0,0.00948,0.3684,0.80591,0.98435,0.76448,0.87434,0.30106,0.33942988,0.0,273977.0,0.00941,0.33943,0.92594,0.98143,0.30131,0.54891,
32,6.82674,15067.19702,4.18533,0.30160328,0.00064,273977.0,0.02181,0.3016,0.84528,0.97462,0.62559,0.79095,0.30077,0.29635985,0.0,273977.0,0.0094,0.29636,0.80746,0.97885,0.75835,0.87083,0.3008,0.2787894,0.0,273977.0,0.0094,0.27879,0.92842,0.97777,0.29121,0.53964,
33,6.89386,15015.23674,4.1709,0.29895165,0.00066,273977.0,0.02203,0.29895,0.84666,0.97435,0.62001,0.78741,0.30155,0.30699867,0.0,273977.0,0.00942,0.307,0.81654,0.98325,0.72261,0.85007,0.3218,0.28938492,0.0,273977.0,0.01006,0.28938,0.94101,0.97943,0.23998,0.48988,
34,6.90631,14966.55086,4.15738,0.28617148,0.00068,273977.0,0.02206,0.28617,0.84664,0.9759,0.6201,0.78746,0.30224,0.26926253,0.0,273977.0,0.00945,0.26926,0.81922,0.98403,0.71203,0.84382,0.30129,0.23629793,0.0,273977.0,0.00942,0.2363,0.94418,0.97981,0.22709,0.47654,
35,6.86846,14918.12086,4.14392,0.30223253,0.0007,273977.0,0.02194,0.30223,0.84158,0.97242,0.64054,0.80033,0.30507,0.33305393,0.0,273977.0,0.00953,0.33305,0.81917,0.98236,0.71225,0.84395,0.30127,0.29058168,0.0,273977.0,0.00941,0.29058,0.93752,0.98111,0.25419,0.50418,
36,6.86426,14871.71475,4.13103,0.28785481,0.00072,273977.0,0.02193,0.28785,0.85074,0.97505,0.60352,0.77687,0.30222,0.30792019,0.0,273977.0,0.00944,0.30792,0.81667,0.97915,0.72208,0.84975,0.31285,0.26857559,0.0,273977.0,0.00978,0.26858,0.94329,0.98115,0.23071,0.48032,
37,6.90916,14829.70807,4.11936,0.29683948,0.00074,273977.0,0.02207,0.29684,0.84729,0.97387,0.61748,0.7858,0.30263,0.28976667,0.0,273977.0,0.00946,0.28977,0.81314,0.98284,0.73598,0.85789,0.30097,0.26067506,0.0,273977.0,0.00941,0.26068,0.93608,0.98127,0.26006,0.50996,
