epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
24,18.16851,36638.54552,10.17737,0.3134416,0.00048,423737.0,0.05805,0.31344,0.83806,0.97222,0.65479,0.80919,0.58556,0.33286069,0.0,423737.0,0.0183,0.33286,0.81372,0.97835,0.73372,0.85657,0.59677,0.29121005,0.0,423737.0,0.01865,0.29121,0.93314,0.97704,0.27199,0.52152,,1.1018,0.8982,1.0815,0.9185,1.1293,0.8707,1.0904,0.9096,1.1125,0.8875,1.0994,0.9006,1.091,0.909,1.0908,0.9092,1.1009,0.8991,1.1063,0.8937
25,18.12713,36587.80078,10.16328,0.31021958,0.0005,423737.0,0.05791,0.31022,0.84105,0.97199,0.64271,0.80169,0.60235,0.3371005,0.0,423737.0,0.01882,0.3371,0.81148,0.97961,0.74255,0.86171,0.59672,0.29901057,0.0,423737.0,0.01865,0.29901,0.9371,0.98009,0.2559,0.50587,,1.1007,0.8993,1.0837,0.9163,1.1322,0.8678,1.0907,0.9092,1.1164,0.8836,1.1009,0.8991,1.0982,0.9018,1.095,0.905,1.1021,0.8979,1.1119,0.8881
26,18.18417,36543.63999,10.15101,0.31620697,0.00052,423737.0,0.0581,0.31621,0.8377,0.97132,0.65623,0.81008,0.60561,0.30064863,0.0,423737.0,0.01893,0.30065,0.81378,0.98118,0.73347,0.85643,0.60043,0.25906693,0.0,423737.0,0.01876,0.25907,0.93504,0.98077,0.26427,0.51407,,1.0973,0.9027,1.0824,0.9176,1.1408,0.8592,1.0912,0.9088,1.1202,0.8798,1.104,0.8961,1.1027,0.8973,1.1038,0.8962,1.1074,0.8926,1.1181,0.8819
27,19.15952,36570.02734,10.15834,0.30137108,0.00054,423737.0,0.06121,0.30137,0.84188,0.97379,0.63934,0.79959,0.5845,0.29387033,0.0,423737.0,0.01827,0.29387,0.81914,0.98222,0.71236,0.84401,0.59669,0.26098367,0.0,423737.0,0.01865,0.26098,0.93388,0.98035,0.26901,0.51866,,1.098,0.902,1.0867,0.9133,1.1393,0.8607,1.0928,0.9072,1.1203,0.8797,1.109,0.891,1.1075,0.8925,1.111,0.889,1.1127,0.8873,1.1247,0.8753
28,18.68055,36560.71968,10.15576,0.30011735,0.00056,423737.0,0.05968,0.30012,0.84446,0.97441,0.62892,0.79305,0.58575,0.27102533,0.0,423737.0,0.0183,0.27103,0.81677,0.98008,0.7217,0.84953,0.58127,0.24086194,0.0,423737.0,0.01816,0.24086,0.93371,0.97629,0.2697,0.51933,,1.1014,0.8986,1.0956,0.9044,1.1523,0.8477,1.0937,0.9063,1.1259,0.8741,1.1085,0.8915,1.1134,0.8866,1.1167,0.8833,1.1221,0.8779,1.1326,0.8674
29,18.46449,36536.59925,10.14906,0.30641367,0.00058,423737.0,0.05899,0.30641,0.84241,0.97124,0.63719,0.79824,0.58205,0.26735608,0.0,423737.0,0.01819,0.26736,0.81988,0.97859,0.70943,0.84228,0.59743,0.23269885,0.0,423737.0,0.01867,0.2327,0.94147,0.97742,0.23813,0.48798,,1.1015,0.8985,1.0964,0.9036,1.1622,0.8378,1.1012,0.8988,1.1315,0.8685,1.1115,0.8885,1.1211,0.8789,1.1291,0.8709,1.129,0.871,1.1374,0.8626
30,18.5112,36515.81103,10.14328,0.30109925,0.0006,423737.0,0.05914,0.3011,0.84582,0.97405,0.6234,0.78956,0.59507,0.34798087,0.0,423737.0,0.0186,0.34798,0.78686,0.97297,0.83952,0.91625,0.5983,0.32732429,0.0,423737.0,0.0187,0.32732,0.90215,0.96745,0.39809,0.63094,,1.0968,0.9032,1.0995,0.9005,1.1668,0.8332,1.1017,0.8983,1.1404,0.8596,1.119,0.881,1.1237,0.8763,1.1392,0.8608,1.1345,0.8655,1.1452,0.8548
31,18.19111,36475.47966,10.13208,0.29681743,0.00062,423737.0,0.05812,0.29682,0.84564,0.97378,0.62415,0.79003,0.59882,0.28291185,0.0,423737.0,0.01871,0.28291,0.82667,0.98316,0.68272,0.82627,0.59797,0.26491405,0.0,423737.0,0.01869,0.26491,0.94596,0.98037,0.21985,0.46888,,1.1004,0.8996,1.101,0.899,1.1744,0.8256,1.1021,0.8979,1.1415,0.8585,1.1263,0.8737,1.1255,0.8744,1.1489,0.8511,1.1448,0.8552,1.1479,0.8521
32,18.38692,36448.16154,10.12449,0.29674671,0.00064,423737.0,0.05874,0.29675,0.84224,0.97466,0.63788,0.79868,0.60116,0.27002199,0.0,423737.0,0.01879,0.27002,0.82993,0.983,0.66985,0.81844,0.5891,0.24270789,0.0,423737.0,0.01841,0.24271,0.94544,0.98095,0.22196,0.47113,,1.0937,0.9063,1.1042,0.8958,1.1812,0.8188,1.1104,0.8896,1.1464,0.8536,1.131,0.869,1.1269,0.873,1.1537,0.8463,1.1565,0.8435,1.1533,0.8467
33,18.13861,36407.01065,10.11306,0.28492132,0.00066,423737.0,0.05795,0.28492,0.84599,0.97505,0.62273,0.78913,0.58394,0.39963245,0.0,423737.0,0.01825,0.39963,0.74093,0.92877,1.02041,1.01015,0.59324,0.36856721,0.0,423737.0,0.01854,0.36857,0.83293,0.93668,0.67967,0.82442,,1.0953,0.9047,1.106,0.894,1.1878,0.8122,1.1153,0.8847,1.1537,0.8463,1.1313,0.8687,1.128,0.872,1.1604,0.8396,1.1625,0.8375,1.1595,0.8405
