Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2
26,26,7.76582,615.32393,0.17092,0.11893185,8.842e-05,149013,0.0301,0.96733,0.72754,0.20373,0.31833,0.8279,0.44969,0.08536787,0.0,149013,0.01363,0.98104,0.55172,0.19753,0.29091,0.76169,0.4391,0.11957323,0.0,149013,0.01331,0.97058,0.6,0.20769,0.30857,0.75673,1.0146,0.9854,1.0303,0.9697
27,27,7.89864,605.5308,0.1682,0.11897327,8.734e-05,149013,0.03061,0.96678,0.70623,0.19318,0.30338,0.8317,0.51463,0.08245565,0.0,149013,0.01559,0.98152,0.59259,0.19753,0.2963,0.75113,0.52892,0.11810691,0.0,149013,0.01603,0.97131,0.75,0.13846,0.23377,0.75379,1.0139,0.9861,1.0319,0.9681
28,28,8.24448,596.71503,0.16575,0.11775922,8.622e-05,149013,0.03196,0.9673,0.72807,0.20211,0.31639,0.82906,0.5681,0.08284349,0.0,149013,0.01722,0.98152,0.58621,0.20988,0.30909,0.7631,0.54709,0.11729963,0.0,149013,0.01658,0.97155,0.65854,0.20769,0.31579,0.75984,1.0112,0.9888,1.0337,0.9663
29,29,8.19507,587.82207,0.16328,0.11698874,8.506e-05,149013,0.03176,0.96806,0.73629,0.2289,0.34923,0.827,0.44561,0.08696484,0.0,149013,0.0135,0.98055,0.51515,0.20988,0.29825,0.76364,0.44777,0.1215204,0.0,149013,0.01357,0.97082,0.6,0.23077,0.33333,0.75858,1.0115,0.9885,1.0338,0.9662
30,30,7.70321,577.87935,0.16052,0.11666941,8.386e-05,149013,0.02986,0.9679,0.74044,0.21997,0.33917,0.82759,0.51517,0.0822394,0.0,149013,0.01561,0.98104,0.54839,0.20988,0.30357,0.75542,0.49303,0.11763199,0.0,149013,0.01494,0.97204,0.69231,0.20769,0.31953,0.75827,1.0102,0.9898,1.0357,0.9643
31,31,7.59646,567.84974,0.15774,0.11704212,8.263e-05,149013,0.02944,0.96748,0.73547,0.20536,0.32107,0.83118,0.45747,0.08242394,0.0,149013,0.01386,0.98128,0.57692,0.18519,0.28037,0.7524,0.44112,0.11945622,0.0,149013,0.01337,0.97058,0.61538,0.18462,0.28402,0.74417,1.0107,0.9893,1.0368,0.9632
32,32,8.13293,559.05682,0.15529,0.11580994,8.136e-05,149013,0.03152,0.96763,0.72032,0.22159,0.33892,0.83465,0.44896,0.08279579,0.0,149013,0.0136,0.98152,0.58065,0.22222,0.32143,0.75398,0.43267,0.11889828,0.0,149013,0.01311,0.97204,0.69231,0.20769,0.31953,0.75064,1.0104,0.9896,1.0373,0.9627
33,33,7.68948,549.44189,0.15262,0.11586302,8.005e-05,149013,0.0298,0.96739,0.72779,0.20617,0.32132,0.836,0.5366,0.08069322,0.0,149013,0.01626,0.98104,0.54839,0.20988,0.30357,0.75882,0.5125,0.11722626,0.0,149013,0.01553,0.97058,0.6,0.20769,0.30857,0.7458,1.0099,0.9901,1.0388,0.9612
34,34,8.23983,540.95907,0.15027,0.11450056,7.872e-05,149013,0.03194,0.96751,0.71059,0.22321,0.33972,0.84208,0.5312,0.07988534,0.0,149013,0.0161,0.98128,0.5625,0.22222,0.31858,0.75991,0.93133,0.11693614,0.0,149013,0.02822,0.97107,0.63415,0.2,0.30409,0.75379,1.0094,0.9906,1.0399,0.9601
35,35,7.8327,531.76597,0.14771,0.11517491,7.735e-05,149013,0.03036,0.96757,0.71429,0.22321,0.34014,0.839,0.44979,0.0800477,0.0,149013,0.01363,0.98128,0.57692,0.18519,0.28037,0.76351,0.45892,0.11847629,0.0,149013,0.01391,0.97107,0.7619,0.12308,0.21192,0.74992,1.0101,0.9899,1.0405,0.9595
36,36,7.84032,522.65937,0.14518,0.11442057,7.595e-05,149013,0.03039,0.96699,0.69312,0.21266,0.32547,0.84291,0.60809,0.08142118,0.0,149013,0.01843,0.98031,0.5,0.20988,0.29565,0.7749,0.5228,0.11928052,0.0,149013,0.01584,0.97155,0.65116,0.21538,0.3237,0.74908,1.0085,0.9915,1.042,0.958
37,37,8.16256,514.14518,0.14282,0.11376728,7.452e-05,149013,0.03164,0.96696,0.6893,0.21429,0.32693,0.84786,0.4473,0.08535312,0.0,149013,0.01355,0.98055,0.51351,0.23457,0.32203,0.77242,0.44416,0.11928094,0.0,149013,0.01346,0.97034,0.57143,0.24615,0.34409,0.75469,1.0081,0.9918,1.0428,0.9572
38,38,8.11384,505.57281,0.14044,0.11362886,7.307e-05,149013,0.03145,0.96775,0.71216,0.23295,0.35107,0.84618,0.48839,0.08234848,0.0,149013,0.0148,0.98079,0.53125,0.20988,0.30088,0.76884,0.54952,0.11996025,0.0,149013,0.01665,0.97131,0.6875,0.16923,0.2716,0.75534,1.007,0.993,1.0444,0.9556
39,39,8.25708,497.23824,0.13812,0.11320184,7.159e-05,149013,0.032,0.96784,0.72539,0.22727,0.34611,0.84784,0.45388,0.08434435,0.0,149013,0.01375,0.98177,0.58333,0.25926,0.35897,0.76082,0.44585,0.11977042,0.0,149013,0.01351,0.97228,0.7,0.21538,0.32941,0.75565,1.0071,0.9929,1.0449,0.9551
40,40,7.26996,487.48696,0.13541,0.1131408,7.008e-05,149013,0.02818,0.96793,0.71638,0.23782,0.3571,0.84733,0.45853,0.08349334,0.0,149013,0.01389,0.98177,0.58824,0.24691,0.34783,0.76242,0.44217,0.11899329,0.0,149013,0.0134,0.97155,0.62264,0.25385,0.36066,0.74841,1.0074,0.9926,1.0463,0.9537
41,41,7.50469,478.17798,0.13283,0.11333492,6.856e-05,149013,0.02909,0.96821,0.74093,0.23214,0.35352,0.84333,0.44316,0.08074469,0.0,149013,0.01343,0.98201,0.6129,0.23457,0.33929,0.76224,0.57851,0.1179906,0.0,149013,0.01753,0.97204,0.7027,0.2,0.31138,0.75299,1.0067,0.9933,1.0467,0.9533
42,42,7.89836,469.47477,0.13041,0.11219064,6.701e-05,149013,0.03061,0.96799,0.72774,0.23214,0.352,0.85089,0.63707,0.08004847,0.0,149013,0.01931,0.98201,0.62069,0.22222,0.32727,0.76885,0.45975,0.11866737,0.0,149013,0.01393,0.97131,0.64286,0.20769,0.31395,0.75211,1.0049,0.9951,1.0473,0.9527
43,43,8.51987,461.59915,0.12822,0.11179252,6.545e-05,149013,0.03302,0.96809,0.72414,0.23864,0.35897,0.85039,0.5413,0.08228223,0.0,149013,0.0164,0.98152,0.59259,0.19753,0.2963,0.77533,0.54745,0.12009969,0.0,149013,0.01659,0.97009,0.60606,0.15385,0.2454,0.75286,1.004,0.996,1.0488,0.9513
44,44,8.73236,453.9546,0.1261,0.11130002,6.387e-05,149013,0.03385,0.96775,0.71007,0.23458,0.35265,0.85656,0.58599,0.08185039,0.0,149013,0.01776,0.98249,0.61538,0.2963,0.4,0.76174,0.5323,0.11934543,0.0,149013,0.01613,0.97082,0.59615,0.23846,0.34066,0.75223,1.0037,0.9963,1.0494,0.9506
45,45,7.89257,445.27692,0.12369,0.11129473,6.227e-05,149013,0.03059,0.9679,0.70853,0.24269,0.36155,0.85498,0.44517,0.08582708,0.0,149013,0.01349,0.98298,0.64865,0.2963,0.40678,0.76636,0.44349,0.12241081,0.0,149013,0.01344,0.97034,0.56667,0.26154,0.35789,0.74866,1.0025,0.9975,1.0501,0.9499
46,46,7.40235,436.07986,0.12113,0.1105956,6.066e-05,149013,0.02869,0.96815,0.71395,0.24919,0.36943,0.85673,0.52187,0.08125023,0.0,149013,0.01581,0.98249,0.63636,0.25926,0.36842,0.76754,0.44307,0.1192803,0.0,149013,0.01343,0.9718,0.675,0.20769,0.31765,0.74649,1.002,0.998,1.0509,0.9491
47,47,8.22703,427.85097,0.11885,0.10916513,5.904e-05,149013,0.03189,0.96897,0.74941,0.25731,0.38308,0.86067,0.46358,0.08017814,0.0,149013,0.01405,0.98201,0.6,0.25926,0.36207,0.7819,0.45243,0.11784759,0.0,149013,0.01371,0.97131,0.625,0.23077,0.33708,0.75244,1.0014,0.9986,1.0509,0.9491
48,48,8.24063,419.63631,0.11657,0.10987726,5.741e-05,149013,0.03194,0.96818,0.72289,0.24351,0.3643,0.85602,0.44319,0.0816975,0.0,149013,0.01343,0.98298,0.63415,0.32099,0.42623,0.77385,0.43993,0.11871865,0.0,149013,0.01333,0.97155,0.63265,0.23846,0.34637,0.75873,0.9999,1.0001,1.0509,0.9491
49,49,8.14484,411.32483,0.11426,0.10997346,5.577e-05,149013,0.03157,0.96872,0.72809,0.26299,0.3864,0.85768,0.45476,0.08039748,0.0,149013,0.01378,0.98322,0.6875,0.2716,0.38938,0.77553,0.44204,0.11818233,0.0,149013,0.0134,0.97107,0.61702,0.22308,0.32768,0.75948,1.0008,0.9992,1.051,0.949
50,50,8.17653,403.05033,0.11196,0.11014415,5.413e-05,149013,0.03169,0.96882,0.7476,0.25244,0.37743,0.85614,0.4516,0.08104005,0.0,149013,0.01368,0.98274,0.63158,0.2963,0.40336,0.77521,0.44073,0.11859807,0.0,149013,0.01336,0.97131,0.62,0.23846,0.34444,0.75387,1.0002,0.9998,1.0516,0.9485
51,51,7.54045,394.19243,0.1095,0.11033923,5.248e-05,149013,0.02923,0.96839,0.72326,0.25244,0.37425,0.85833,0.50958,0.07966091,0.0,149013,0.01544,0.98249,0.62162,0.28395,0.38983,0.77565,0.42412,0.11772322,0.0,149013,0.01285,0.97204,0.65306,0.24615,0.35754,0.7548,0.9991,1.0009,1.0522,0.9478
52,52,7.98818,385.78131,0.10716,0.10900159,5.083e-05,149013,0.03096,0.96897,0.74478,0.26055,0.38605,0.8618,0.48145,0.07948509,0.0,149013,0.01459,0.98274,0.63889,0.28395,0.39316,0.77458,0.44395,0.11830781,0.0,149013,0.01345,0.97204,0.65306,0.24615,0.35754,0.75327,0.9989,1.0011,1.0531,0.9469
53,53,8.16685,377.53804,0.10487,0.10828772,4.917e-05,149013,0.03165,0.96875,0.73182,0.26136,0.38517,0.86526,0.54706,0.07879399,0.0,149013,0.01658,0.98225,0.625,0.24691,0.35398,0.77548,0.44867,0.11770971,0.0,149013,0.0136,0.9718,0.69444,0.19231,0.3012,0.75247,0.9982,1.0018,1.0535,0.9465
54,54,7.9015,369.08046,0.10252,0.10869036,4.752e-05,149013,0.03063,0.9686,0.72874,0.25731,0.38032,0.86279,0.46606,0.07964567,0.0,149013,0.01412,0.98274,0.64706,0.2716,0.38261,0.78501,0.4488,0.11697693,0.0,149013,0.0136,0.97131,0.62,0.23846,0.34444,0.75159,0.9975,1.0025,1.0538,0.9462
55,55,7.8682,360.61656,0.10017,0.10859289,4.587e-05,149013,0.0305,0.96845,0.72986,0.25,0.37243,0.86269,0.5505,0.08116718,0.0,149013,0.01668,0.98274,0.61905,0.32099,0.42276,0.78298,0.52755,0.11825349,0.0,149013,0.01599,0.97107,0.6,0.25385,0.35676,0.75804,0.9971,1.0029,1.0543,0.9457
56,56,7.7516,352.08561,0.0978,0.1082521,4.423e-05,149013,0.03004,0.96897,0.74824,0.25812,0.38383,0.86339,0.54753,0.08063953,0.0,149013,0.01659,0.98298,0.64103,0.30864,0.41667,0.77209,0.44507,0.11933946,0.0,149013,0.01349,0.97155,0.62264,0.25385,0.36066,0.75106,0.9965,1.0035,1.0552,0.9448
57,57,7.51653,343.41131,0.09539,0.10759295,4.259e-05,149013,0.02913,0.96927,0.76,0.26218,0.38986,0.86607,0.44745,0.07801564,0.0,149013,0.01356,0.98274,0.63158,0.2963,0.40336,0.77984,0.4387,0.1169259,0.0,149013,0.01329,0.97228,0.67391,0.23846,0.35227,0.75737,0.9964,1.0035,1.0559,0.9441
