Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
20,20,63.31941,5413.5121,1.50375,0.10208229,9.397e-05,559965,0.06153,0.97006,0.70279,0.3474,0.46496,0.88012,3.40884,0.07180455,0.0,559965,0.02643,0.98201,0.57447,0.33333,0.42188,0.82493,3.05994,0.11969093,0.0,559965,0.02372,0.96985,0.5625,0.20769,0.30337,0.77317,1.0568,0.9432,1.0714,0.9286,1.0693,0.9307,1.039,0.961,1.0722,0.9278,1.0053,0.9947,1.0384,0.9616,1.0198,0.9802,1.0295,0.9705,1.0337,0.9663
21,21,63.38943,5326.77704,1.47966,0.09993584,9.316e-05,559965,0.0616,0.97122,0.72231,0.37581,0.49439,0.88848,3.0743,0.07999699,0.0,559965,0.02383,0.98201,0.57778,0.32099,0.4127,0.78358,3.06743,0.12205361,0.0,559965,0.02378,0.96718,0.45763,0.20769,0.28571,0.75573,1.0585,0.9415,1.0758,0.9242,1.0752,0.9248,1.0409,0.9591,1.078,0.922,1.0071,0.9929,1.0421,0.9579,1.0227,0.9773,1.0306,0.9694,1.0378,0.9622
22,22,63.38743,5242.06535,1.45613,0.09989507,9.23e-05,559965,0.0616,0.97119,0.72118,0.37581,0.49413,0.88941,3.08059,0.07820566,0.0,559965,0.02388,0.97885,0.45455,0.37037,0.40816,0.81702,3.05624,0.11958063,0.0,559965,0.02369,0.96839,0.5,0.26923,0.35,0.76738,1.0637,0.9363,1.0781,0.9219,1.0774,0.9226,1.0455,0.9545,1.0825,0.9174,1.0073,0.9926,1.0459,0.9541,1.0234,0.9766,1.0314,0.9686,1.0409,0.9591
23,23,63.40488,5159.18593,1.43311,0.09765033,9.14e-05,559965,0.06162,0.97185,0.73611,0.38718,0.50745,0.89576,3.07665,0.07705342,0.0,559965,0.02385,0.98055,0.50877,0.35802,0.42029,0.82122,3.06186,0.11889828,0.0,559965,0.02374,0.96815,0.49123,0.21538,0.29947,0.77627,1.0686,0.9314,1.0787,0.9213,1.0805,0.9196,1.0471,0.9529,1.0858,0.9142,1.0096,0.9904,1.0469,0.9531,1.0248,0.9752,1.0327,0.9673,1.0437,0.9563
24,24,63.37934,5077.78784,1.4105,0.09644639,9.045e-05,559965,0.06159,0.97207,0.73748,0.39448,0.51401,0.89871,3.08342,0.07657706,0.0,559965,0.0239,0.97909,0.45455,0.30864,0.36765,0.82802,3.05945,0.12363076,0.0,559965,0.02372,0.96766,0.47273,0.2,0.28108,0.75123,1.0675,0.9325,1.0821,0.9179,1.0829,0.9172,1.0524,0.9476,1.087,0.913,1.0112,0.9888,1.0501,0.9499,1.0247,0.9753,1.0335,0.9665,1.0475,0.9525
25,25,63.38714,4997.798,1.38828,0.09565215,8.946e-05,559965,0.0616,0.97213,0.73828,0.3961,0.51558,0.90366,3.08978,0.06936339,0.0,559965,0.02395,0.98152,0.56098,0.28395,0.37705,0.82919,3.0644,0.12158194,0.0,559965,0.02376,0.97009,0.58974,0.17692,0.27219,0.76918,1.0671,0.9329,1.0836,0.9164,1.0866,0.9134,1.0555,0.9445,1.0912,0.9088,1.0118,0.9882,1.0513,0.9487,1.0274,0.9726,1.0352,0.9648,1.0491,0.9509
26,26,63.41132,4919.10337,1.36642,0.09465296,8.842e-05,559965,0.06162,0.97195,0.73303,0.39448,0.51293,0.90683,3.07988,0.07785738,0.0,559965,0.02388,0.98152,0.55319,0.32099,0.40625,0.80213,3.06784,0.12201883,0.0,559965,0.02378,0.97058,0.6,0.20769,0.30857,0.75095,1.0708,0.9292,1.0879,0.9121,1.088,0.912,1.0569,0.9431,1.097,0.903,1.0147,0.9853,1.0518,0.9482,1.0284,0.9716,1.0383,0.9617,1.0522,0.9478
27,27,63.89721,4842.74985,1.34521,0.09276505,8.734e-05,559965,0.0621,0.97286,0.75643,0.40584,0.52826,0.91487,3.08487,0.0739959,0.0,559965,0.02391,0.98128,0.54167,0.32099,0.4031,0.82651,3.06585,0.12368321,0.0,559965,0.02377,0.96864,0.50667,0.29231,0.37073,0.779,1.0716,0.9284,1.0888,0.9112,1.0868,0.9133,1.0612,0.9388,1.0982,0.9018,1.0162,0.9838,1.0546,0.9454,1.0294,0.9706,1.0399,0.9601,1.0536,0.9464
28,28,63.37692,4765.98158,1.32388,0.09061342,8.622e-05,559965,0.06159,0.97331,0.75431,0.42614,0.54461,0.92041,3.07924,0.06946358,0.0,559965,0.02387,0.98274,0.61364,0.33333,0.432,0.83384,3.06189,0.12141165,0.0,559965,0.02374,0.96985,0.55769,0.22308,0.31868,0.76219,1.0719,0.9281,1.0905,0.9095,1.0887,0.9113,1.0607,0.9393,1.101,0.899,1.019,0.981,1.0558,0.9442,1.0303,0.9697,1.043,0.957,1.056,0.9441
29,29,63.44164,4690.25707,1.30285,0.09079335,8.506e-05,559965,0.06165,0.97243,0.73585,0.41153,0.52785,0.92221,3.10698,0.07132878,0.0,559965,0.02409,0.98225,0.60526,0.28395,0.38655,0.82893,3.10941,0.1224913,0.0,559965,0.0241,0.97009,0.56604,0.23077,0.32787,0.77706,1.0746,0.9255,1.0899,0.9101,1.0886,0.9114,1.0661,0.9339,1.1043,0.8957,1.0212,0.9788,1.0564,0.9436,1.0308,0.9692,1.0447,0.9553,1.0587,0.9413
