,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
26,26,262.35956,19311.65189,5.36435,0.02992247,0.0004421,9745818,0.38301,0.98754,0.93127,0.40218,13.39605,0.043619,0.0,9745818,0.15577,0.98138,0.88597,0.28424,14.06024,0.04583313,0.0,9745818,0.16349,0.98009,0.88157,0.2819,1.3771,0.6229,1.7126,0.2874,1.7638,0.2362,1.7119,0.2882,1.6391,0.3609
27,27,262.77328,19042.55754,5.2896,0.02965867,0.00043671,9745818,0.38361,0.98771,0.93331,0.41202,13.3661,0.04369184,0.0,9745818,0.15542,0.98145,0.88509,0.28714,14.08202,0.04583341,0.0,9745818,0.16374,0.98031,0.88218,0.28005,1.3892,0.6108,1.7275,0.2725,1.7623,0.2377,1.7124,0.2876,1.637,0.3629
28,28,262.76456,18773.8778,5.21497,0.02937069,0.00043111,9745818,0.3836,0.98785,0.93504,0.4199,13.4102,0.0435995,0.0,9745818,0.15593,0.98143,0.88572,0.28672,16.05241,0.04591812,0.0,9745818,0.18666,0.98,0.88009,0.28142,1.3996,0.6004,1.737,0.263,1.7662,0.2338,1.7113,0.2888,1.6364,0.3636
29,29,261.99485,18503.7964,5.13994,0.029082,0.00042531,9745818,0.38247,0.98793,0.93685,0.42725,13.37803,0.04397777,0.0,9745818,0.15556,0.98123,0.88487,0.28812,14.11128,0.04634635,0.0,9745818,0.16408,0.98014,0.8803,0.28168,1.408,0.592,1.7343,0.2657,1.7709,0.2291,1.7094,0.2906,1.6363,0.3637
30,30,262.4188,18235.18035,5.06533,0.02882587,0.00041932,9745818,0.38309,0.98792,0.93855,0.43245,13.33142,0.04403012,0.0,9745818,0.15502,0.98133,0.88531,0.28669,14.11983,0.04622464,0.0,9745818,0.16418,0.98019,0.88023,0.28532,1.417,0.583,1.7446,0.2554,1.7723,0.2277,1.7068,0.2933,1.6312,0.3688
31,31,260.4598,17962.78874,4.98966,0.02860288,0.00041315,9745818,0.38023,0.9881,0.94035,0.43883,13.36758,0.04420838,0.0,9745818,0.15544,0.98139,0.88428,0.28592,14.03358,0.04639555,0.0,9745818,0.16318,0.98009,0.87816,0.28784,1.4261,0.5739,1.7498,0.2502,1.782,0.218,1.7097,0.2904,1.6342,0.3658
32,32,262.16565,17694.58368,4.91516,0.02834699,0.00040679,9745818,0.38272,0.98824,0.9416,0.44833,13.36522,0.04417834,0.0,9745818,0.15541,0.98141,0.88352,0.28967,14.04587,0.04648686,0.0,9745818,0.16332,0.9799,0.87818,0.28439,1.4372,0.5629,1.7611,0.2389,1.7794,0.2206,1.7045,0.2956,1.6352,0.3648
33,33,259.65331,17421.85697,4.8394,0.02812388,0.00040027,9745818,0.37906,0.98843,0.94378,0.45056,13.38693,0.04406631,0.0,9745818,0.15566,0.98104,0.88228,0.29483,14.07377,0.04642908,0.0,9745818,0.16365,0.97967,0.87941,0.28689,1.4427,0.5573,1.7555,0.2445,1.7793,0.2207,1.701,0.299,1.6292,0.3708
34,34,261.62437,17153.53786,4.76487,0.02788079,0.00039358,9745818,0.38193,0.98837,0.94476,0.46008,13.37704,0.04374429,0.0,9745818,0.15555,0.98143,0.88327,0.2921,14.08572,0.04632128,0.0,9745818,0.16379,0.97999,0.87812,0.28289,1.4474,0.5526,1.7569,0.2431,1.7847,0.2153,1.6961,0.304,1.6357,0.3643
35,35,260.63462,16883.83112,4.68995,0.0276199,0.00038674,9745818,0.38049,0.98856,0.94689,0.46415,13.33571,0.04410859,0.0,9745818,0.15507,0.98154,0.88207,0.29321,14.08054,0.04657763,0.0,9745818,0.16373,0.9799,0.8774,0.28812,1.4542,0.5458,1.7601,0.2399,1.7833,0.2167,1.6994,0.3006,1.6302,0.3697
