Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
35,35,66.70925,4463.80157,1.23994,0.0789008,7.735e-05,558693,0.06483,0.97526,0.77573,0.47727,0.59095,0.9504,3.12716,0.08495272,0.0,558693,0.02424,0.98128,0.55,0.2716,0.36364,0.7886,3.11804,0.14376126,0.0,558693,0.02417,0.96815,0.49296,0.26923,0.34826,0.77599,1.0394,0.9606,1.0774,0.9226,1.081,0.919,1.0856,0.9144,1.0918,0.9082,1.0294,0.9706,1.1018,0.8982,1.0613,0.9387,1.0317,0.9683,1.0299,0.9701
36,36,68.09327,4391.23902,1.21979,0.07541833,7.595e-05,558693,0.06617,0.97608,0.78562,0.49675,0.60865,0.95349,3.08376,0.0866634,0.0,558693,0.02391,0.97982,0.48,0.2963,0.36641,0.77447,3.06321,0.13194674,0.0,558693,0.02375,0.96693,0.45455,0.23077,0.30612,0.79975,1.0374,0.9626,1.0774,0.9226,1.0824,0.9176,1.0871,0.9129,1.0928,0.9072,1.031,0.969,1.1035,0.8965,1.0641,0.9359,1.0321,0.9679,1.0307,0.9693
37,37,67.47104,4317.89648,1.19942,0.07453404,7.452e-05,558693,0.06557,0.9769,0.80971,0.50081,0.61886,0.95571,3.18256,0.09554694,0.0,558693,0.02467,0.97812,0.42105,0.2963,0.34783,0.76163,3.21194,0.14821321,0.0,558693,0.0249,0.96475,0.40741,0.25385,0.3128,0.77945,1.0364,0.9636,1.0795,0.9205,1.0811,0.9189,1.09,0.91,1.0937,0.9063,1.035,0.965,1.1082,0.8918,1.064,0.936,1.0314,0.9686,1.0316,0.9684
38,38,67.42087,4244.77659,1.1791,0.07356022,7.307e-05,558693,0.06552,0.97723,0.80225,0.52029,0.63122,0.95599,3.09912,0.09181505,0.0,558693,0.02402,0.98079,0.52174,0.2963,0.37795,0.76607,3.08201,0.15252517,0.0,558693,0.02389,0.96888,0.51852,0.21538,0.30435,0.76962,1.0361,0.9638,1.0834,0.9166,1.0836,0.9164,1.0898,0.9102,1.0947,0.9053,1.0366,0.9634,1.109,0.891,1.0662,0.9338,1.0335,0.9665,1.0327,0.9673
39,39,66.91153,4171.17763,1.15866,0.07329234,7.159e-05,558693,0.06503,0.97605,0.78608,0.49513,0.60757,0.95893,3.12169,0.09393389,0.0,558693,0.0242,0.98152,0.57143,0.24691,0.34483,0.74812,3.1177,0.14824551,0.0,558693,0.02417,0.96645,0.4375,0.21538,0.28866,0.79169,1.0329,0.9671,1.0804,0.9196,1.086,0.914,1.0887,0.9113,1.0988,0.9012,1.0363,0.9637,1.1107,0.8893,1.0676,0.9324,1.0334,0.9666,1.0346,0.9654
40,40,66.91613,4097.91151,1.13831,0.07374857,7.008e-05,558693,0.06503,0.97675,0.78863,0.51786,0.62518,0.95613,3.0778,0.09314981,0.0,558693,0.02386,0.97739,0.4,0.2963,0.34043,0.76841,3.05418,0.15427911,0.0,558693,0.02368,0.96426,0.38961,0.23077,0.28986,0.74885,1.0343,0.9657,1.0803,0.9197,1.0876,0.9124,1.0928,0.9072,1.101,0.899,1.0392,0.9608,1.1137,0.8863,1.0694,0.9305,1.0349,0.9651,1.0354,0.9646
41,41,75.92717,4037.39158,1.1215,0.07307183,6.856e-05,558693,0.07379,0.97687,0.8,0.50974,0.62271,0.95844,3.11904,0.08901624,0.0,558693,0.02418,0.98152,0.55556,0.30864,0.39683,0.7693,3.10223,0.14686611,0.0,558693,0.02405,0.96572,0.41538,0.20769,0.27692,0.77223,1.0362,0.9638,1.0823,0.9177,1.0898,0.9102,1.0947,0.9053,1.1043,0.8957,1.0415,0.9585,1.1125,0.8875,1.0727,0.9273,1.037,0.963,1.0351,0.9649
42,42,68.49342,3966.301,1.10175,0.06904475,6.701e-05,558693,0.06656,0.97775,0.8034,0.53734,0.64397,0.96389,3.07454,0.09534979,0.0,558693,0.02383,0.98128,0.55,0.2716,0.36364,0.75977,3.08767,0.15169326,0.0,558693,0.02394,0.96718,0.46154,0.23077,0.30769,0.77765,1.0369,0.9631,1.0842,0.9158,1.09,0.91,1.0953,0.9047,1.1078,0.8922,1.0425,0.9575,1.117,0.883,1.0749,0.9251,1.0378,0.9622,1.0379,0.9621
43,43,75.99632,3904.87762,1.08469,0.06865427,6.545e-05,558693,0.07385,0.97742,0.8,0.52922,0.63703,0.9681,3.09629,0.08958185,0.0,558693,0.024,0.98225,0.61111,0.2716,0.37607,0.78152,3.08147,0.15633082,0.0,558693,0.02389,0.96864,0.50909,0.21538,0.3027,0.76591,1.0375,0.9625,1.0839,0.9161,1.0897,0.9103,1.0971,0.9029,1.11,0.89,1.0434,0.9566,1.1177,0.8823,1.0752,0.9248,1.0387,0.9613,1.0382,0.9618
44,44,73.28274,3839.48995,1.06652,0.06912929,6.387e-05,558693,0.07122,0.97787,0.80958,0.5349,0.64418,0.96661,3.07536,0.09034316,0.0,558693,0.02384,0.98079,0.51923,0.33333,0.40602,0.78512,3.06491,0.1549839,0.0,558693,0.02376,0.96572,0.43038,0.26154,0.32536,0.77406,1.0371,0.9629,1.0855,0.9145,1.0888,0.9112,1.0966,0.9034,1.1112,0.8888,1.0454,0.9545,1.12,0.8799,1.0761,0.9239,1.0378,0.9622,1.0388,0.9612
